
----------------------Identifiers for file birthDateToCurrentAge.py-----------------------------------

identifier = datetime, Row = 0, Col = [5, 13]
identifier = date, Row = 0, Col = [21, 25]
identifier = ageCalculator, Row = 3, Col = [4, 17]
identifier = days, Row = 3, Col = [33, 37]
identifier = age_day, Row = 4, Col = [4, 11]
identifier = age_months, Row = 5, Col = [4, 14]
identifier = age_year, Row = 6, Col = [4, 12]
identifier = today_day, Row = 8, Col = [4, 13]
identifier = int, Row = 8, Col = [16, 19]
identifier = strftime, Row = 8, Col = [26, 34]
identifier = today_month, Row = 9, Col = [4, 15]
identifier = int, Row = 9, Col = [18, 21]
identifier = strftime, Row = 9, Col = [28, 36]
identifier = today_year, Row = 10, Col = [4, 14]
identifier = int, Row = 10, Col = [17, 20]
identifier = strftime, Row = 10, Col = [27, 35]
identifier = day, Row = 12, Col = [19, 22]
identifier = today_day, Row = 13, Col = [8, 17]
identifier = age_day, Row = 14, Col = [8, 15]
identifier = days, Row = 14, Col = [30, 34]
identifier = age_day, Row = 16, Col = [8, 15]
identifier = days, Row = 16, Col = [30, 34]
identifier = months, Row = 18, Col = [21, 27]
identifier = today_month, Row = 19, Col = [8, 19]
identifier = age_months, Row = 20, Col = [8, 18]
identifier = months, Row = 20, Col = [35, 41]
identifier = age_months, Row = 22, Col = [8, 18]
identifier = months, Row = 22, Col = [35, 41]
identifier = age_year, Row = 24, Col = [4, 12]
identifier = years, Row = 24, Col = [28, 33]
identifier = print, Row = 26, Col = [4, 9]
identifier = today_year, Row = 26, Col = [35, 45]
identifier = today_month, Row = 26, Col = [48, 59]
identifier = today_day, Row = 26, Col = [62, 71]
identifier = today, Row = 29, Col = [0, 5]
identifier = today, Row = 29, Col = [13, 18]
identifier = print, Row = 30, Col = [0, 5]
identifier = today, Row = 30, Col = [26, 31]
identifier = birthDate, Row = 31, Col = [0, 9]
identifier = input, Row = 31, Col = [12, 17]
identifier = day, Row = 32, Col = [13, 16]
identifier = map, Row = 32, Col = [19, 22]
identifier = int, Row = 32, Col = [23, 26]
identifier = split, Row = 32, Col = [38, 43]
identifier = month, Row = 33, Col = [3, 8]
identifier = day, Row = 33, Col = [17, 20]
identifier = year, Row = 33, Col = [29, 33]
identifier = int, Row = 33, Col = [36, 39]
identifier = strftime, Row = 33, Col = [46, 54]
identifier = print, Row = 34, Col = [4, 9]
identifier = exit, Row = 35, Col = [4, 8]
identifier = print, Row = 36, Col = [0, 5]
identifier = birthDate, Row = 36, Col = [32, 41]
identifier = ageCalculator, Row = 37, Col = [0, 13]
identifier = day, Row = 37, Col = [27, 30]

------------------------------------------------------------------------------------------

----------------------Identifiers for file alarm_clock.py-----------------------------------

identifier = tkinter, Row = 1, Col = [5, 12]
identifier = datetime, Row = 2, Col = [7, 15]
identifier = time, Row = 3, Col = [7, 11]
identifier = winsound, Row = 4, Col = [7, 15]
identifier = threading, Row = 5, Col = [5, 14]
identifier = root, Row = 8, Col = [0, 4]
identifier = Tk, Row = 8, Col = [7, 9]
identifier = geometry, Row = 11, Col = [5, 13]
identifier = Threading, Row = 14, Col = [4, 13]
identifier = t1, Row = 15, Col = [1, 3]
identifier = Thread, Row = 15, Col = [4, 10]
identifier = alarm, Row = 15, Col = [18, 23]
identifier = start, Row = 16, Col = [4, 9]
identifier = alarm, Row = 18, Col = [4, 9]
identifier = set_alarm_time, Row = 22, Col = [2, 16]
identifier = get, Row = 22, Col = [27, 30]
identifier = get, Row = 22, Col = [42, 45]
identifier = get, Row = 22, Col = [57, 60]
identifier = sleep, Row = 25, Col = [7, 12]
identifier = current_time, Row = 28, Col = [2, 14]
identifier = datetime, Row = 28, Col = [26, 34]
identifier = now, Row = 28, Col = [35, 38]
identifier = strftime, Row = 28, Col = [41, 49]
identifier = print, Row = 29, Col = [2, 7]
identifier = set_alarm_time, Row = 29, Col = [21, 35]
identifier = set_alarm_time, Row = 32, Col = [21, 35]
identifier = print, Row = 33, Col = [3, 8]
identifier = PlaySound, Row = 35, Col = [12, 21]
identifier = SND_ASYNC, Row = 35, Col = [43, 52]
identifier = Label, Row = 38, Col = [0, 5]
identifier = root, Row = 38, Col = [6, 10]
identifier = text, Row = 38, Col = [11, 15]
identifier = font, Row = 38, Col = [30, 34]
identifier = fg, Row = 38, Col = [57, 59]
identifier = pack, Row = 38, Col = [67, 71]
identifier = pady, Row = 38, Col = [72, 76]
identifier = Label, Row = 39, Col = [0, 5]
identifier = root, Row = 39, Col = [6, 10]
identifier = text, Row = 39, Col = [11, 15]
identifier = font, Row = 39, Col = [27, 31]
identifier = pack, Row = 39, Col = [55, 59]
identifier = frame, Row = 41, Col = [0, 5]
identifier = Frame, Row = 41, Col = [8, 13]
identifier = root, Row = 41, Col = [14, 18]
identifier = pack, Row = 42, Col = [6, 10]
identifier = hour, Row = 44, Col = [0, 4]
identifier = StringVar, Row = 44, Col = [7, 16]
identifier = root, Row = 44, Col = [17, 21]
identifier = hours, Row = 45, Col = [0, 5]
identifier = set, Row = 49, Col = [5, 8]
identifier = hours, Row = 49, Col = [9, 14]
identifier = hrs, Row = 51, Col = [0, 3]
identifier = OptionMenu, Row = 51, Col = [6, 16]
identifier = hour, Row = 51, Col = [24, 28]
identifier = hours, Row = 51, Col = [31, 36]
identifier = pack, Row = 52, Col = [4, 8]
identifier = LEFT, Row = 52, Col = [14, 18]
